episode,avg_pods,avg_latency,reward,execution_time
269,10.04,1.942,0.0,0.8
270,7.48,119901.0996,4.0,0.16
271,4.8,32303.1064,2.0,0.17
272,7.44,120.5533,-1.0,0.17
273,4.0,19.3804,-6.0,0.16
274,4.84,359712.774,2.0,0.18
275,8.12,0.3084,-9.0,0.18
276,4.84,359703.1446,5.0,0.16
277,5.28,19.3694,6.0,0.16
278,6.68,26631.2342,13.0,0.17
279,4.64,56.3494,6.0,0.18
280,5.6,11.7645,17.0,0.23
281,5.28,15.6065,13.0,0.2
282,5.76,389161.1171,6.0,0.17
283,4.08,35.3,15.0,0.15
284,6.64,10.6135,3.0,0.15
285,6.92,359795.6546,-3.0,0.22
286,6.16,33926.3154,9.0,0.17
287,3.84,67859.3158,-2.0,0.17
288,3.68,1.1222,14.0,0.17
289,4.12,197.4988,11.0,0.17
290,5.88,120052.459,13.0,0.2
291,7.6,113.6883,-3.0,0.16
292,7.92,1349.8442,-1.0,0.18
293,6.24,67861.1595,12.0,0.21
294,6.88,0.4549,1.0,0.18
295,5.52,31.132,10.0,0.16
296,5.84,4776.555,-5.0,0.17
297,5.84,606837.0659,0.0,0.21
298,4.16,120013.6755,2.0,0.18
299,4.6,10.5971,12.0,0.17
300,5.32,0.2997,12.0,0.17
301,6.12,293.1843,9.0,0.16
302,7.04,509200.8223,0.0,0.21
303,8.4,848.8306,-5.0,0.23
304,5.36,32248.9951,5.0,0.16
305,6.32,787276.5572,8.0,0.19
306,6.6,359833.6843,3.0,0.17
307,4.12,22.4232,5.0,0.17
308,6.4,63.7176,2.0,0.18
309,4.08,359712.6912,3.0,0.21
310,5.8,2841.4304,3.0,0.16
311,5.52,1127333.1517,-1.0,0.19
312,8.04,1059625.4846,4.0,0.16
313,4.88,112423.8939,11.0,0.19
314,6.6,120013.8263,15.0,0.2
315,7.44,39958.3466,-2.0,0.26
316,5.32,4.3599,21.0,0.21
317,4.56,58.3313,10.0,0.18
318,8.92,237733.0741,-1.0,0.16
319,6.16,474431.4818,7.0,0.16
320,4.56,339253.912,17.0,0.17
321,5.2,290.8776,3.0,0.16
322,7.32,363283.8874,7.0,0.17
323,5.32,359714.1304,5.0,0.16
324,6.72,72636.1279,2.0,0.16
325,5.96,67848.7926,8.0,0.18
326,8.44,67944.4856,-1.0,0.18
327,7.32,120434.6273,14.0,0.25
328,4.32,46.4428,12.0,0.23
329,4.2,1.8679,0.0,0.19
330,5.44,47.1768,17.0,0.18
331,4.12,20.0515,14.0,0.19
332,6.56,40.4303,6.0,0.21
333,4.56,389.9472,4.0,0.21
334,6.32,104.1278,9.0,0.22
335,6.24,1027.5184,0.0,0.2
336,4.56,33881.0504,9.0,0.2
337,6.48,0.1009,9.0,0.23
338,6.08,120013.8492,16.0,0.21
339,7.6,2.077,3.0,0.22
340,6.24,0.1518,-2.0,0.17
341,7.4,442196.6985,15.0,0.16
342,5.88,16.2679,4.0,0.15
343,5.96,67850.4292,15.0,0.16
344,5.6,201.0864,20.0,0.19
345,5.52,71522.2498,11.0,0.18
346,3.4,145.4729,1.0,0.16
347,6.0,336568.6554,18.0,0.18
348,3.92,67857.5513,13.0,0.24
349,7.28,579587.4923,1.0,0.2
350,5.48,359702.7893,7.0,0.17
351,6.52,329734.7185,7.0,0.17
352,6.96,240087.338,2.0,0.18
353,6.48,359888.2556,7.0,0.18
354,6.64,2.1228,2.0,0.16
355,6.08,32479.9646,4.0,0.21
356,7.44,2703.503,4.0,0.2
357,9.0,765.3233,-4.0,0.16
358,3.64,0.0773,13.0,0.19
359,4.76,337243.8109,8.0,0.17
360,5.16,359713.902,8.0,0.15
361,5.0,69.7802,18.0,0.19
362,3.24,27.1089,5.0,0.2
363,5.36,339243.4084,14.0,0.2
364,4.8,460.5253,4.0,0.16
365,5.76,17.593,15.0,0.2
366,8.2,817643.0986,5.0,0.19
367,6.08,766966.8331,9.0,0.18
368,5.76,74.7432,5.0,0.23
369,3.88,0.949,5.0,0.25
370,4.96,31.626,10.0,0.27
371,5.08,120050.5561,14.0,0.29
372,3.24,44.085,-1.0,0.3
373,6.96,2722.515,1.0,0.2
374,5.72,67868.8457,5.0,0.2
375,5.0,359742.8796,16.0,0.17
376,5.28,168279.4798,16.0,0.16
377,6.36,42.1456,13.0,0.16
378,7.24,32524.8492,4.0,0.16
379,4.44,339284.5442,14.0,0.17
380,4.84,114882.9648,16.0,0.17
381,6.48,166.0639,10.0,0.19
382,5.68,359774.6036,8.0,0.23
383,5.48,10.5541,17.0,0.19
384,4.48,38.6907,8.0,0.21
385,4.24,19.403,13.0,0.19
386,5.52,339252.0726,5.0,0.18
387,4.96,33.067,13.0,0.16
388,4.72,9.4671,13.0,0.2
389,5.08,0.4521,1.0,0.17
390,4.48,18.7613,14.0,0.16
391,5.36,112939.4057,11.0,0.16
392,5.68,720421.9426,3.0,0.2
393,5.04,119904.2208,2.0,0.18
394,5.08,20.519,12.0,0.25
395,5.12,1.7413,7.0,0.17
396,6.76,70533.3723,3.0,0.21
397,8.28,0.0382,0.0,0.15
398,5.84,33937.9642,13.0,0.2
399,3.88,2799.5481,-7.0,0.17
400,5.36,145.6791,5.0,0.21
401,5.72,68014.053,9.0,0.14
402,4.68,34035.148,13.0,0.16
